,build_year,lat,lng,total_building,total_house,wy_fee
2201,2006,106.54233,29.564769,7,1127,1.2
2202,2006,106.54233,29.564769,7,1127,1.2
2203,2009,106.527189,29.581037,17,1144,0.8
2204,2014,106.516214,29.578442,6,1272,1.8
2205,2009,106.527189,29.581037,5,1902,1.8
2206,0,0,0,6,652,0.0
2207,2006,106.54233,29.564769,7,1127,1.2
2208,2009,106.527189,29.581037,5,1902,1.8
2209,0,106.527189,29.581037,1,396,0.0
2210,2010,106.516214,29.578442,21,570,0.0
2211,2009,106.527189,29.581037,17,1144,0.8
2212,0,106.527324,29.593026,2,1223,0.0
2213,2012,106.506063,29.57726,87,1009,2.8
2214,2005,106.549642,29.587637,5,1822,0.0
2215,2009,106.527189,29.581037,2,1980,0.0
2216,0,106.543372,29.566124,1,180,1.2
2217,0,106.527189,29.581037,2,378,0.0
2218,2006,106.543372,29.566124,2,1600,1.2
2219,1998,0,0,15,948,1.4
2220,2001,0,0,8,481,1.2
2221,2001,0,0,8,481,1.2
2222,2003,0,0,12,422,1.1
2223,2007,106.553186,29.594911,16,5820,1.3
2224,2002,0,0,19,1157,1.4
2225,2005,0,0,8,644,1.3
2226,1998,0,0,15,948,1.4
2227,2005,0,0,8,644,1.3
2228,2006,106.553186,29.594911,3,762,1.1
2229,2007,106.553186,29.594911,16,5820,1.3
2230,1998,0,0,15,948,1.4
2231,2001,0,0,8,481,1.2
2232,2001,0,0,8,481,1.2
2233,2003,0,0,12,422,1.1
2234,2007,106.553186,29.594911,16,5820,1.3
2235,2002,0,0,19,1157,1.4
2236,2005,0,0,8,644,1.3
2237,1998,0,0,15,948,1.4
2238,2005,0,0,8,644,1.3
2239,2006,106.553186,29.594911,3,762,1.1
2240,2007,106.553186,29.594911,16,5820,1.3
2241,1998,0,0,15,948,1.4
2242,2001,0,0,8,481,1.2
2243,2001,0,0,8,481,1.2
2244,2003,0,0,12,422,1.1
2245,2007,106.553186,29.594911,16,5820,1.3
2246,2002,0,0,19,1157,1.4
2247,2005,0,0,8,644,1.3
2248,1998,0,0,15,948,1.4
2249,2005,0,0,8,644,1.3
2250,2006,106.553186,29.594911,3,762,1.1
2251,2007,106.553186,29.594911,16,5820,1.3
2252,1998,0,0,15,948,1.4
2253,2001,0,0,8,481,1.2
2254,2001,0,0,8,481,1.2
2255,2003,0,0,12,422,1.1
2256,2007,106.553186,29.594911,16,5820,1.3
2257,2002,0,0,19,1157,1.4
2258,2005,0,0,8,644,1.3
2259,1998,0,0,15,948,1.4
2260,2005,0,0,8,644,1.3
2261,2006,106.553186,29.594911,3,762,1.1
2262,2007,106.553186,29.594911,16,5820,1.3
2263,1998,0,0,15,948,1.4
2264,2001,0,0,8,481,1.2
2265,2001,0,0,8,481,1.2
2266,2003,0,0,12,422,1.1
2267,2007,106.553186,29.594911,16,5820,1.3
2268,2002,0,0,19,1157,1.4
2269,2005,0,0,8,644,1.3
2270,1998,0,0,15,948,1.4
2271,2005,0,0,8,644,1.3
2272,2006,106.553186,29.594911,3,762,1.1
2273,2007,106.553186,29.594911,16,5820,1.3
2274,1998,0,0,15,948,1.4
2275,2001,0,0,8,481,1.2
2276,2001,0,0,8,481,1.2
2277,2003,0,0,12,422,1.1
2278,2007,106.553186,29.594911,16,5820,1.3
2279,2002,0,0,19,1157,1.4
2280,2005,0,0,8,644,1.3
2281,1998,0,0,15,948,1.4
2282,2005,0,0,8,644,1.3
2283,2006,106.553186,29.594911,3,762,1.1
2284,2007,106.553186,29.594911,16,5820,1.3
2285,1998,0,0,15,948,1.4
2286,2001,0,0,8,481,1.2
2287,2001,0,0,8,481,1.2
2288,2003,0,0,12,422,1.1
2289,2007,106.553186,29.594911,16,5820,1.3
2290,2002,0,0,19,1157,1.4
2291,2005,0,0,8,644,1.3
2292,1998,0,0,15,948,1.4
2293,2005,0,0,8,644,1.3
2294,2006,106.553186,29.594911,3,762,1.1
2295,2007,106.553186,29.594911,16,5820,1.3
2296,1998,0,0,15,948,1.4
2297,2001,0,0,8,481,1.2
2298,2001,0,0,8,481,1.2
2299,2003,0,0,12,422,1.1
2300,2007,106.553186,29.594911,16,5820,1.3
2301,2002,0,0,19,1157,1.4
2302,2005,0,0,8,644,1.3
2303,1998,0,0,15,948,1.4
